subjid1,block,rep,respnr,line,rad,var,pred,new_block,correct,resp_time,new_rho_bias,rho,theta_resp,theta,rho_resp,rep_number,new_theta_resp,new_theta_bias,x,y,x_resp,y_resp
1.0,1.0,1.0,1.0,1.0,0.0,0.01,0.0,0.0,1.0,3.869932,0.0677,0.2032,-1.8158,0.1749,0.2709,20.0,1.325792653589793,1.150892653589793,0.03184689927156895,0.005627522030662433,-0.010457987553776209,-0.041827504223404234
1.0,1.0,2.0,2.0,1.0,0.0,0.01,0.0,0.0,0.0,4.898664,-0.1162,0.1751,-0.5191,0.0133,0.0589,20.0,-0.5191,-0.5324,0.027865565783762987,0.0003706338789907183,0.008139322030775798,-0.004650543275283696
1.0,1.0,3.0,3.0,1.0,0.0,0.01,0.0,0.0,1.0,3.278472,0.3643,-0.1007,-2.7553,0.0325,0.465,20.0,0.38629265358979303,0.35379265358979306,-0.016018439306329207,-0.0005207826492596136,-0.06855363125258367,-0.02788266263022429
1.0,1.0,4.0,4.0,1.0,0.0,0.01,0.0,0.0,0.0,5.182626,0.1782,0.318,-0.4571,-0.0794,0.4962,20.0,-0.4571,-0.37770000000000004,0.050451819860823824,-0.00401431393801289,0.07086504526356599,-0.034854411233753206
1.0,1.0,5.0,5.0,1.0,0.0,0.01,0.0,0.0,0.0,2.16899,0.6044999999999999,-0.1964,-0.7403,0.0315,0.8009,20.0,-0.7403,-0.7717999999999999,-0.031242524214972346,-0.0009844651461599807,0.09410472586922135,-0.08597782327730606
1.0,1.0,6.0,6.0,1.0,0.0,0.01,0.0,0.0,1.0,3.500848,0.2961,0.0535,-2.0718,-0.0527,0.3496,20.0,1.069792653589793,1.122492653589793,0.008502968171920752,-0.00044852172452734503,-0.02672450443974288,-0.048802394218820246
1.0,1.0,7.0,7.0,1.0,0.0,0.01,0.0,0.0,1.0,2.953215,0.4522,0.1975,0.0,0.0932,0.6497,20.0,0.0,-0.0932,0.031296682320108946,0.0029253257282591035,0.10340296652680442,0.0
1.0,1.0,8.0,8.0,1.0,0.0,0.01,0.0,0.0,1.0,3.214435,0.3549,0.2248,-1.8647,0.1165,0.5797,20.0,1.276892653589793,1.160392653589793,0.035535511496118846,0.00415871852406799,-0.02672747899220281,-0.08830594967380008
1.0,1.0,9.0,9.0,1.0,0.0,0.01,0.0,0.0,0.0,2.294941,0.10500000000000001,-0.0469,2.5269,-0.2046,0.1519,20.0,0.9561036732051034,1.1607036732051035,-0.007308677553703965,0.001516576606658716,-0.019750303468118423,0.013942269612321008
1.0,1.0,10.0,10.0,1.0,0.0,0.01,0.0,0.0,0.0,3.761059,-0.1168,0.254,0.4398,-0.0644,0.1372,20.0,0.4398,0.5042,0.04034155526255611,-0.0026015937356547304,0.01975806974022064,0.009296887517555181
1.0,1.0,11.0,11.0,1.0,0.0,0.01,0.0,0.0,1.0,2.319459,-0.055,0.0623,0.0,0.1741,0.0073,20.0,0.0,-0.1741,0.009765460951708103,0.0017175554184527954,0.001161831084570836,0.0
1.0,1.0,12.0,12.0,1.0,0.0,0.01,0.0,0.0,1.0,1.744037,0.0216,0.0149,2.2143,0.0487,0.0365,20.0,0.6435036732051036,0.5948036732051036,0.002368597084722642,0.00011544195663732112,-0.0034855051713545077,0.004647315400027967
1.0,1.0,13.0,13.0,1.0,0.0,0.01,0.0,0.0,1.0,1.852417,-0.0412,0.3451,-1.1501,0.1049,0.3039,20.0,-1.1501,-1.255,0.05462245370858841,0.005751005593043625,0.019752973643174635,-0.04414979989123638
1.0,1.0,14.0,14.0,1.0,0.0,0.01,0.0,0.0,1.0,1.959337,0.03589999999999999,-0.2715,-1.6421,0.1489,0.3074,20.0,1.4994926535897932,1.3505926535897932,-0.042732436146527185,-0.0064103046509472105,-0.0034855219965131265,-0.04879991156970965
1.0,1.0,15.0,15.0,1.0,0.0,0.01,0.0,0.0,1.0,2.2603,-0.0702,0.2595,-0.4809,0.1271,0.1894,20.0,-0.4809,-0.608,0.04096756229249572,0.005235198086339914,0.026724988562118458,-0.013943904767519416
1.0,1.0,16.0,16.0,1.0,0.0,0.01,0.0,0.0,0.0,1.941057,-0.2572,0.3974,2.4669,-0.1856,0.1402,20.0,0.8961036732051033,1.0817036732051033,0.06216193162947787,-0.011671581687670645,-0.017424607238330985,0.013938305930786129
1.0,1.0,17.0,17.0,1.0,0.0,0.01,0.0,0.0,1.0,1.654457,-0.1107,0.2295,0.8288,0.2134,0.1188,20.0,0.8288,0.6154,0.03569752054899664,0.007735634740499501,0.012777019635181585,0.013937194149414122
1.0,1.0,18.0,18.0,1.0,0.0,0.01,0.0,0.0,1.0,2.219426,0.5644,-0.1395,-1.6643,0.1436,0.7039,20.0,1.4772926535897932,1.3336926535897933,-0.021973593202545154,-0.003177277570973702,-0.010459881140324225,-0.1115397891883845
1.0,1.0,19.0,19.0,1.0,0.0,0.01,0.0,0.0,0.0,1.745208,0.5195,0.0577,-1.7359,-0.0917,0.5773,20.0,1.4056926535897931,1.497392653589793,0.009144656836311958,-0.0008409234318549213,-0.015100924643304396,-0.09063070004310399
1.0,1.0,20.0,20.0,1.0,0.0,0.01,0.0,0.0,1.0,1.85197,0.1859,0.119,2.9489,-0.1106,0.3049,20.0,1.3781036732051035,1.4887036732051036,0.018823719246502557,-0.0020904339546217454,-0.047628223605671975,0.009292911196317465
1.0,2.0,1.0,21.0,6.0,0.3,0.06,0.0,1.0,0.0,2.110273,-0.4727,2.181,1.0766,1.1316,1.7082,6.0,1.0766,-0.05499999999999994,0.14759835485181358,0.31417334283953136,0.12895382098425892,0.23933946413876853
1.0,2.0,2.0,22.0,6.0,0.3,0.06,0.0,0.0,1.0,1.489066,-0.0821,2.8172,1.9915,1.8401,2.7351,6.0,1.9915,0.15139999999999998,-0.11929379180524818,0.43221038741862494,-0.1777796818666393,0.3973468929893804
1.0,2.0,3.0,23.0,6.0,0.3,0.06,0.0,0.0,0.0,1.5035,0.3909,1.8358,1.4887,1.2692,2.2267,6.0,1.4887,0.2194999999999998,0.08678957009466906,0.2789888207984024,0.029061472376646417,0.3531967212599195
1.0,2.0,4.0,24.0,6.0,0.3,0.06,0.0,0.0,1.0,1.846083,-0.7773,1.6066,-2.6661,1.4094,0.8293,6.0,0.475492653589793,-0.933907346410207,0.04108983787331902,0.25237524044953763,-0.11734549904193842,-0.06042063650274591
1.0,2.0,5.0,25.0,6.0,0.3,0.06,0.0,0.0,1.0,1.311549,0.2682,1.1937,0.9953,1.5074,1.4619,6.0,0.9953,-0.5121000000000001,0.012036174353713673,0.18960160311412258,0.12663017958606979,0.19519088171603116
1.0,2.0,6.0,26.0,6.0,0.3,0.06,0.0,0.0,1.0,1.378352,-0.4939,1.7418,0.8641,1.2157,1.2479,6.0,0.8641,-0.3516,0.09638267629643636,0.25992140091297694,0.12896205133456146,0.15104470970194397
1.0,3.0,1.0,27.0,19.0,0.3,0.01,0.0,1.0,1.0,1.949907,-1.6696,1.9617,1.5458,4.6358,0.2921,3.0,7.828985307179586,3.1931853071795864,-0.023888800445072054,-0.31129899498697394,0.0011619371993314542,0.04647463603998443
1.0,3.0,2.0,28.0,19.0,0.3,0.01,0.0,0.0,1.0,1.54595,0.0597,1.457,-1.4405,4.8608,1.5167,3.0,4.842685307179586,-0.018114692820414113,0.03428864926465355,-0.22933966485345236,0.03136335031918318,-0.23934414186881195
1.0,3.0,3.0,29.0,19.0,0.3,0.01,0.0,0.0,1.0,1.066255,-0.4075,1.4298,-1.5494,4.7393,1.0223,3.0,4.733785307179586,-0.005514692820414169,0.006123125436364353,-0.22747734288582602,0.0034810044421343823,-0.16266685654774216
1.0,4.0,1.0,30.0,9.0,0.0,0.01,0.0,1.0,0.0,1.444097,-0.0652,0.2246,-0.2783,0.0961,0.1594,6.0,-0.2783,-0.3744,0.03558126537820511,0.0034299248012923944,0.024393185116862993,-0.006969490458929619
1.0,4.0,2.0,31.0,9.0,0.0,0.01,0.0,0.0,1.0,3.571048,0.0448,0.1099,1.2341,0.0747,0.1547,6.0,1.2341,1.1594,0.01744234989951947,0.001305372473178132,0.008134146710110134,0.02323881620817083
1.0,4.0,3.0,32.0,9.0,0.0,0.01,0.0,0.0,0.0,1.031038,0.0372,0.1133,1.8158,0.0601,0.1505,6.0,0.24500367320510352,0.18490367320510354,0.01799969851084216,0.0010830862340593344,-0.0058099930854312275,0.023237502346335686
1.0,4.0,4.0,33.0,9.0,0.0,0.01,0.0,0.0,1.0,1.844348,0.37260000000000004,-0.2956,-2.1618,0.1688,0.6682,6.0,0.9797926535897932,0.8109926535897931,-0.046377537098898025,-0.00790373948949627,-0.05925617406115063,-0.0883088957371702
1.0,4.0,5.0,34.0,9.0,0.0,0.01,0.0,0.0,1.0,2.225855,0.1236,0.1294,-0.765,-0.0658,0.253,6.0,-0.765,-0.6992,0.02055008201029566,-0.001354150288364039,0.029047326715466056,-0.027885833708633706
1.0,4.0,6.0,35.0,9.0,0.0,0.01,0.0,0.0,0.0,1.528637,-0.017100000000000004,-0.3651,-2.973,0.1734,0.348,6.0,0.16859265358979325,-0.004807346410206748,-0.05723608146959087,-0.010025418474976575,-0.05460065246974138,-0.009293487280560706
1.0,5.0,1.0,36.0,7.0,0.9,0.06,0.0,1.0,0.0,1.170623,-0.7991,5.7647,1.2923,1.3819,4.9656,9.0,1.2923,-0.0895999999999999,0.17227987198813216,0.9011604265605425,0.21726149054057822,0.7598494558518978
1.0,5.0,2.0,37.0,7.0,0.9,0.06,0.0,0.0,0.0,1.09411,-0.4145,5.6274,1.7014,1.7006,5.2129,9.0,1.7014,0.0008000000000001339,-0.11592968177897073,0.8880938952726524,-0.10804870457019908,0.8225929774662629
1.0,5.0,3.0,38.0,7.0,0.9,0.06,0.0,0.0,1.0,0.953294,0.0522,5.302,1.394,1.2648,5.3542,9.0,1.394,0.12919999999999998,0.25420105660679615,0.8046408755108041,0.1498729115189009,0.8388642890349979
1.0,5.0,4.0,39.0,7.0,0.9,0.06,0.0,0.0,0.0,1.414202,-0.5884,5.9095,1.8904,1.8007,5.3211,9.0,1.8904,0.08970000000000011,-0.21433060625696432,0.91577934247271,-0.26608130672463526,0.8039934089434013
1.0,5.0,5.0,40.0,7.0,0.9,0.06,0.0,0.0,1.0,1.221465,0.0213,5.4831,1.4445,1.4721,5.5044,9.0,1.4445,-0.02760000000000007,0.08598881901089307,0.8684156302579593,0.11034830545400116,0.8690748986682396
1.0,5.0,6.0,41.0,7.0,0.9,0.06,0.0,0.0,0.0,1.911964,0.2237,5.0884,1.4703,1.4198,5.3121,9.0,1.4703,0.05049999999999999,0.1218193256301347,0.800629362670267,0.08482137115929987,0.8411812643450217
1.0,5.0,7.0,42.0,7.0,0.9,0.06,0.0,0.0,0.0,2.011036,-0.0896,5.1998,1.495,1.3544,5.1101,9.0,1.495,0.14060000000000006,0.17768954339646217,0.8082728138366884,0.061585967366556804,0.8109625615810024
1.0,5.0,8.0,43.0,7.0,0.9,0.06,0.0,0.0,0.0,1.2763,0.069,5.9908,1.4148,1.4014,6.0597,9.0,1.4148,0.013400000000000079,0.1607422079719715,0.9398182136163635,0.1498382807667626,0.9527203397863381
1.0,5.0,9.0,44.0,7.0,0.9,0.06,0.0,0.0,0.0,1.123478,-0.0557,5.1953,1.5807,1.6955,5.1395,9.0,1.5807,-0.11480000000000001,-0.10284514740435394,0.8204367688979495,-0.00810084278687687,0.8179367156430947
1.0,6.0,1.0,45.0,21.0,0.3,0.04,0.0,1.0,1.0,1.497168,-0.1467,1.5767,-0.7962,5.2133,1.4299,9.0,5.486985307179586,0.27368530717958617,0.12050742728281176,-0.2201105226971844,0.15917269873739703,-0.16264910043673933
1.0,6.0,2.0,46.0,21.0,0.3,0.04,0.0,0.0,0.0,1.56207,0.571,1.4967,-0.5665,5.4198,2.0677,9.0,5.716685307179587,0.2968853071795863,0.15480328755579933,-0.18104865058359088,0.27767655748595943,-0.17661385361747453
1.0,6.0,3.0,47.0,21.0,0.3,0.04,0.0,0.0,0.0,2.121613,0.1173,2.0136,-1.2393,5.5286,2.1308,9.0,5.043885307179586,-0.4847146928204138,0.23348343475646216,-0.21952066537283013,0.11037179597395265,-0.32066404230918594
1.0,6.0,4.0,48.0,21.0,0.3,0.04,0.0,0.0,0.0,0.970678,1.196,1.4422,-0.803,5.4467,2.6382,9.0,5.480185307179586,0.03348530717958642,0.1538047026864382,-0.17038083925502281,0.2916300732494825,-0.30208156794603563
